Bank Number	VREF	"PinName/Function (2), (3)"	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896 (4)	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 	HMC pin assignment for DDR3 (5)	HMC pin assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0
		DNU					R29									
		DNU					T29									
		RREF_TL					T30									
GXB_L1		REFCLK3Ln					W23									
GXB_L1		REFCLK3Lp					W22									
GXB_L1		GXB_TX_L11n					U27									
GXB_L1		GXB_TX_L11p					U28									
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					V30									
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					V29									
GXB_L1		GXB_TX_L10n					W27									
GXB_L1		GXB_TX_L10p					W28									
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					Y30									
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					Y29									
GXB_L1		GXB_TX_L9n					AA27									
GXB_L1		GXB_TX_L9p					AA28									
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					AB30									
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					AB29									
GXB_L1		GXB_TX_L8n					AC27									
GXB_L1		GXB_TX_L8p					AC28									
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					AD30									
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					AD29									
GXB_L1		GXB_TX_L7n					AE27									
GXB_L1		GXB_TX_L7p					AE28									
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					AF30									
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					AF29									
GXB_L1		GXB_TX_L6n					AG27									
GXB_L1		GXB_TX_L6p					AG28									
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					AH30									
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					AH29									
GXB_L1		REFCLK2Ln					AA23									
GXB_L1		REFCLK2Lp					AA22									
		DNU					AJ28									
3A		TDO		TDO			AF25									
3A		TMS		TMS			AK29									
3A		TCK		TCK			AH25									
3A		TDI		TDI			AG25									
3A		DCLK		DCLK			AK27									
3A		nCSO		DATA4			AJ27									
3A		AS_DATA3		DATA3			AK28									
3A		AS_DATA2		DATA2			AE25									
3A		AS_DATA1		DATA1			AC25									
3A		"AS_DATA0,ASDO"		DATA0			AK26									
3A	VREFB3AN0	IO	RZQ_0		DIFFIO_TX_B1n	DIFFOUT_B1n	AD25									
3A	VREFB3AN0	IO	CLK0n		DIFFIO_RX_B2n	DIFFOUT_B2n	AE24									
3A	VREFB3AN0	IO	CLK0p		DIFFIO_RX_B2p	DIFFOUT_B2p	AF24									
3A	VREFB3AN0	IO	CLK1n		DIFFIO_RX_B4n	DIFFOUT_B4n	AJ25									
3A	VREFB3AN0	IO	CLK1p		DIFFIO_RX_B4p	DIFFOUT_B4p	AK25									
