Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
8A	VREFB8AN0	IO			DIFFIO_TX_T32p	DIFFOUT_T32p	E4	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T31n	DIFFOUT_T31n	G11	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T32n	DIFFOUT_T32n	D4											
8A	VREFB8AN0	IO			DIFFIO_RX_T33p	DIFFOUT_T33p	K7											
8A	VREFB8AN0	IO			DIFFIO_TX_T34p	DIFFOUT_T34p	E3	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T33n	DIFFOUT_T33n	K8											
8A	VREFB8AN0	IO			DIFFIO_TX_T34n	DIFFOUT_T34n	E2	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T35p	DIFFOUT_T35p	G10	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T36p	DIFFOUT_T36p	E1	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T35n	DIFFOUT_T35n	F10	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T36n	DIFFOUT_T36n	D1	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T37p	DIFFOUT_T37p	J10	DQS5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T38p	DIFFOUT_T38p	E7											
8A	VREFB8AN0	IO			DIFFIO_RX_T37n	DIFFOUT_T37n	J9	DQSn5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T38n	DIFFOUT_T38n	E6	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T39p	DIFFOUT_T39p	F9	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T40p	DIFFOUT_T40p	G7	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T39n	DIFFOUT_T39n	F8	DQ5T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T40n	DIFFOUT_T40n	F6											
9A		MSEL0		MSEL0			L8											
9A		CONF_DONE		CONF_DONE			F3											
9A		MSEL1		MSEL1			K6											
9A		nSTATUS		nSTATUS			F4											
9A		nCE		nCE			G5											
9A		MSEL2		MSEL2			G6											
9A		MSEL3		MSEL3			L7											
9A		nCONFIG		nCONFIG			J5											
9A		MSEL4		MSEL4			L9											
		GND					J6											
		GND					A12											
		GND					A17											
		GND					A2											
		GND					A22											
		GND					A27											
		GND					AA11											
		GND					AA22											
		GND					AA3											
		GND					AA4											
		GND					AA6											
		GND					AA9											
		GND					AB1											
		GND					AB19											
		GND					AB2											
		GND					AB29											
		GND					AB5											
		GND					AB7											
		GND					AC16											
		GND					AC26											
		GND					AC3											
		GND					AC4											
		GND					AC6											
		GND					AC8											
		GND					AD1											
		GND					AD2											
		GND					AD23											
		GND					AD5											
		GND					AE10											
		GND					AE20											
		GND					AE3											
		GND					AE4											
		GND					AF1											
		GND					AF12											
		GND					AF17											
		GND					AF2											
		GND					AF27											
		GND					AF3											
		GND					AG14											
		GND					AG24											
		GND					AG9											
		GND					AH1											
		GND					AH11											
		GND					AH21											
		GND					AH6											
		GND					AJ18											
		GND					AJ28											
		GND					AJ3											
		GND					AJ30											
		GND					AK15											
		GND					AK25											
		GND					AK5											
		GND					B14											
		GND					B19											
		GND					B24											
		GND					B29											
		GND					B9											
		GND					C1											
		GND					C16											
		GND					C21											
		GND					C26											
		GND					C6											
		GND					D13											
		GND					D23											
		GND					D3											
		GND					E10											
		GND					E25											
		GND					E30											
		GND					F17											
		GND					F2											
		GND					F27											
		GND					F5											
		GND					F7											
		GND					G24											
		GND					G3											
		GND					G4											
		GND					H1											
		GND					H11											
		GND					H2											
		GND					H5											
		GND					J18											
		GND					J28											
		GND					J3											
		GND					J4											
		GND					J8											
		GND					K1											
		GND					K10											
		GND					K15											
		GND					K2											
		GND					K20											
		GND					K25											
		GND					K5											
		GND					L11											
		GND					L13											
		GND					L15											
		GND					L17											
		GND					L19											
		GND					L22											
		GND					L3											
		GND					L4											
		GND					L6											
		GND					M1											
		GND					M10											
		GND					M12											
		GND					M14											
		GND					M16											
		GND					M18											
		GND					M2											
		GND					M20											
		GND					M29											
		GND					M5											
		GND					M7											
		GND					M8											
		GND					N11											
		GND					N13											
		GND					N15											
		GND					N17											
		GND					N19											
		GND					N26											
		GND					N3											
		GND					N4											
		GND					N6											
		GND					N8											
		GND					N9											
		GND					P1											
		GND					P10											
		GND					P12											
		GND					P14											
		GND					P16											
		GND					P18											
		GND					P2											
		GND					P20											
		GND					P5											
		GND					P7											
		GND					R11											
		GND					R13											
		GND					R15											
		GND					R17											
		GND					R3											
		GND					R30											
		GND					R4											
		GND					R6											
		GND					R8											
		GND					R9											
		GND					T1											
		GND					T10											
		GND					T12											
		GND					T14											
		GND					T15											
		GND					T16											
		GND					T2											
		GND					T20											
		GND					T27											
		GND					T5											
		GND					T7											
		GND					U11											
		GND					U13											
		GND					U15											
		GND					U17											
		GND					U24											
		GND					U29											
		GND					U3											
		GND					U4											
		GND					U6											
		GND					U9											
		GND					V1											
		GND					V10											
		GND					V12											
		GND					V14											
		GND					V19											
		GND					V2											
		GND					V21											
		GND					V5											
		GND					V7											
		GND					W11											
		GND					W13											
		GND					W18											
		GND					W28											
		GND					W3											
		GND					W4											
		GND					W6											
		GND					W9											
		GND					Y1											
		GND					Y10											
		GND					Y12											
		GND					Y14											
		GND					Y15											
		GND					Y2											
		GND					Y20											
		GND					Y25											
		GND					Y30											
		GND					Y5											
		GND					Y7											
		GND					Y8											
		GND					U22											
		GND					T18											
		VCC					M11											
		VCC					M13											
		VCC					M9											
		VCC					N10											
		VCC					N12											
		VCC					N14											
		VCC					P11											
		VCC					P13											
		VCC					R10											
		VCC					R12											
		VCC					R14											
		VCC					T11											
		VCC					T13											
		VCC					U10											
		VCC					U12											
		VCC					U14											
		VCC					V11											
		VCC					V13											
		VCC					V15											
		VCC					W10											
		VCC					W12											
		VCC					W14											
		VCC					Y11											
		VCC					Y13											
		VCC					Y9											
		VCC					U21											
		DNU					F1											
		DNU					G2											
		DNU					AA7											
		DNU					AD15											
		DNU					E26											
		DNU					J15											
		VCCPGM					AB10											
		VCCPGM					AA23											
		VCCPGM					J11											
		VCCBAT					H9											
		VCCIO3A					AC11											
		VCCIO3A					AD8											
		VCCIO3A					AF7											
		VCCIO3A					AG4											
		VCCIO3B					AB14											
		VCCIO3B					AD13											
		VCCIO3B					AE15											
		VCCIO3B					AJ13											
		VCCIO3B					AJ8											
		VCCIO3B					AK10											
		VCCIO4A					AA17											
		VCCIO4A					AC21											
		VCCIO4A					AD18											
		VCCIO4A					AE25											
		VCCIO4A					AF22											
		VCCIO4A					AG19											
		VCCIO4A					AH16											
		VCCIO4A					AH26											
		VCCIO4A					AJ23											
		VCCIO4A					AK20											
		VCCIO5A					AB24											
		VCCIO5A					AD28											
		VCCIO5A					AG29											
		VCCIO5A					W23											
		VCCIO5B					AA27											
		VCCIO5B					AE30											
		VCCIO6A_HPS					D28											
		VCCIO6A_HPS					G29											
		VCCIO6A_HPS					H26											
		VCCIO6A_HPS					K24											
		VCCIO6A_HPS					K30											
		VCCIO6A_HPS					L27											
		VCCIO6A_HPS					M24											
		VCCIO6A_HPS					N21											
		VCCIO6B_HPS					P23											
		VCCIO6B_HPS					P28											
		VCCIO6B_HPS					R25											
		VCCIO6B_HPS					T22											
		VCCIO6B_HPS					U19											
		VCCIO6B_HPS					V26											
		VCCIO7A_HPS					F22											
		VCCIO7A_HPS					H21											
		VCCIO7B_HPS					E20											
		VCCIO7B_HPS					G19											
		VCCIO7C_HPS					D18											
		VCCIO7D_HPS					E15											
		VCCIO7D_HPS					H16											
		VCCIO8A					A7											
		VCCIO8A					B4											
		VCCIO8A					C11											
		VCCIO8A					D8											
		VCCIO8A					E5											
		VCCIO8A					F12											
		VCCIO8A					G14											
		VCCIO8A					G9											
		VCCIO8A					H6											
		VCCIO8A					J13											
		VCCPD3A					AA10											
		VCCPD3A					AC10											
		VCCPD3B4A					AB18											
		VCCPD3B4A					AB20											
		VCCPD3B4A					AC13											
		VCCPD3B4A					AC15											
		VCCPD3B4A					AC17											
		VCCPD3B4A					AC19											
		VCCPD3B4A					AD16											
		VCCPD3B4A					AE21											
		VCCPD5A					V22											
		VCCPD5A					V24											
		VCCPD5B					U23											
		VCCPD6A6B_HPS					M21											
		VCCPD6A6B_HPS					N22											
		VCCPD6A6B_HPS					P21											
		VCCPD6A6B_HPS					R20											
		VCCPD6A6B_HPS					R23											
		VCCPD7A_HPS					K19											
		VCCPD7B_HPS					K18											
		VCCPD7C_HPS					J17											
		VCCPD7D_HPS					K16											
		VCCPD8A					K11											
		VCCPD8A					K13											
		VCCPD8A					L10											
		VCCPD8A					L12											
		VCCPD8A					L14											
3A	VREFB3AN0	VREFB3AN0					AD6											
3B	VREFB3BN0	VREFB3BN0					AJ15											
4A	VREFB4AN0	VREFB4AN0					AK17											
5A	VREFB5AN0	VREFB5AN0					AC24											
5B	VREFB5BN0	VREFB5BN0					AA29											
	VREFB7A7B7C7DN0_HPS	VREFB7A7B7C7DN0_HPS					E22											
8A	VREFB8AN0	VREFB8AN0					B10											
		VCCH_GXBL					AB6											
		VCCH_GXBL					P6											
		VCCH_GXBL					V6											
		VCCL_GXBL					L5											
		VCCL_GXBL					R5											
		VCCL_GXBL					W5											
		VCCRSTCLK_HPS					J20											
		RREF_TL					G1											
		VCCA_FPLL					N7											
		VCCA_FPLL					R7											
		VCCA_FPLL					V8											
		VCCA_FPLL					AA8											
		VCCA_FPLL					K9											
		VCCA_FPLL					Y22											
		VCC_AUX					AB11											
		VCC_AUX					AB16											
		VCC_AUX					AD22											
		VCC_AUX					H10											
		VCC_AUX					J16											
		VCC_AUX_SHARED					J21											
		VCCE_GXBL					AA5											
		VCCE_GXBL					M6											
		VCCE_GXBL					N5											
		VCCE_GXBL					T6											
		VCCE_GXBL					U5											
		VCCE_GXBL					Y6											
		VCCPLL_HPS					L21											
		VCC_HPS					U18											
		VCC_HPS					L16											
		VCC_HPS					L18											
		VCC_HPS					L20											
		VCC_HPS					M15											
		VCC_HPS					N20											
		VCC_HPS					P15											
		VCC_HPS					P17											
		VCC_HPS					P19											
		VCC_HPS					R16											
		VCC_HPS					T17											
		VCC_HPS					T19											
		VCC_HPS					U16											
Notes:																		
"(1) For more information about pin definitions and pin connection guidelines, refer to the "																		
Cyclone V Device Family Pin Connection Guidelines.																		
"(2) HPS_DDR pins are for memory interface only. For the dedicated pin function corresponding with the respective memory interfaces, refer to the HMC columns. "																		
(3) RESET pin is only applicable for DDR3 device.																		
