Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F672	DQS for X8	DQS for X16									
GXB_L2		GXB_TX_L8n					C3											
GXB_L2		GXB_TX_L8p					C4											
GXB_L2		"GXB_RX_L8p,GXB_REFCLK_L8p"					D2											
GXB_L2		"GXB_RX_L8n,GXB_REFCLK_L8n"					D1											
GXB_L2		GXB_TX_L7n					E3											
GXB_L2		GXB_TX_L7p					E4											
GXB_L2		"GXB_RX_L7p,GXB_REFCLK_L7p"					F2											
GXB_L2		"GXB_RX_L7n,GXB_REFCLK_L7n"					F1											
GXB_L2		GXB_TX_L6n					G3											
GXB_L2		GXB_TX_L6p					G4											
GXB_L2		"GXB_RX_L6p,GXB_REFCLK_L6p"					H2											
GXB_L2		"GXB_RX_L6n,GXB_REFCLK_L6n"					H1											
GXB_L2		REFCLK2Lp					M6											
GXB_L2		REFCLK2Ln					L5											
GXB_L1		REFCLK1Ln					P6											
GXB_L1		REFCLK1Lp					N7											
GXB_L1		GXB_TX_L5n					K1											
GXB_L1		GXB_TX_L5p					K2											
GXB_L1		"GXB_RX_L5p,GXB_REFCLK_L5p"					M2											
GXB_L1		"GXB_RX_L5n,GXB_REFCLK_L5n"					M1											
GXB_L1		GXB_TX_L4n					P1											
GXB_L1		GXB_TX_L4p					P2											
GXB_L1		"GXB_RX_L4p,GXB_REFCLK_L4p"					T2											
GXB_L1		"GXB_RX_L4n,GXB_REFCLK_L4n"					T1											
GXB_L1		GXB_TX_L3n					W3											
GXB_L1		GXB_TX_L3p					W4											
GXB_L1		"GXB_RX_L3p,GXB_REFCLK_L3p"					V2											
GXB_L1		"GXB_RX_L3n,GXB_REFCLK_L3n"					V1											
GXB_L0		GXB_TX_L2n					AA3											
GXB_L0		GXB_TX_L2p					AA4											
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					Y2											
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					Y1											
GXB_L0		GXB_TX_L1n					AC3											
GXB_L0		GXB_TX_L1p					AC4											
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AB2											
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AB1											
GXB_L0		GXB_TX_L0n					AE3											
GXB_L0		GXB_TX_L0p					AE4											
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AD2											
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AD1											
GXB_L0		REFCLK0Lp					V6											
GXB_L0		REFCLK0Ln					W6											
3A		TDO		TDO			V7											
3A		nCSO		DATA4			Y6											
3A		TMS		TMS			R6											
3A		AS_DATA3		DATA3			U6											
3A		TCK		TCK			Y5											
3A		AS_DATA2		DATA2			AB5											
3A		TDI		TDI			T6											
3A		AS_DATA1		DATA1			AD5											
3A		DCLK		DCLK			N8											
3A		"AS_DATA0,ASDO"		DATA0			AF5											
3A	VREFB3AN0	IO		DATA6	DIFFIO_RX_B1n	DIFFOUT_B1n	T7	DQ1B										
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B2n	DIFFOUT_B2n	U7											
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B1p	DIFFOUT_B1p	T8	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_TX_B2p	DIFFOUT_B2p	V8	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_RX_B3n	DIFFOUT_B3n	W8	DQSn1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B4n	DIFFOUT_B4n	AB6	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B3p	DIFFOUT_B3p	Y9	DQS1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_TX_B4p	DIFFOUT_B4p	AA6											
3A	VREFB3AN0	IO		DATA14	DIFFIO_RX_B5n	DIFFOUT_B5n	R10	DQ1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B6n	DIFFOUT_B6n	AA7	DQ1B										
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_RX_B5p	DIFFOUT_B5p	R9	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_TX_B6p	DIFFOUT_B6p	Y8	DQ1B										
3A	VREFB3AN0	IO		PR_DONE	DIFFIO_RX_B7n	DIFFOUT_B7n	R8											
3A	VREFB3AN0	IO		PR_READY	DIFFIO_TX_B8n	DIFFOUT_B8n	AD6	DQ1B										
3A	VREFB3AN0	IO		PR_ERROR	DIFFIO_RX_B7p	DIFFOUT_B7p	P8											
3A	VREFB3AN0	IO			DIFFIO_TX_B8p	DIFFOUT_B8p	AD7	DQ1B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	U9											
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	Y11	DQ2B										
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	T9	DQ2B										
