Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDr2 (2)	HMC Pin Assignment for LPDDR2									
3B	VREFB3BN0	IO			DIFFIO_RX_B23p	DIFFOUT_B23p	AB12													
3B	VREFB3BN0	IO			DIFFIO_TX_B24p	DIFFOUT_B24p	AJ4	DQ3B	DQ1B											
3B	VREFB3BN0	IO			DIFFIO_TX_B25n	DIFFOUT_B25n	AK6			GND	GND									
3B	VREFB3BN0	IO			DIFFIO_RX_B26n	DIFFOUT_B26n	AG12	DQ4B	DQ1B	B_A_15										
3B	VREFB3BN0	IO			DIFFIO_TX_B25p	DIFFOUT_B25p	AK5	DQ4B	DQ1B	B_WE#										
3B	VREFB3BN0	IO			DIFFIO_RX_B26p	DIFFOUT_B26p	AF13	DQ4B	DQ1B	B_A_14										
3B	VREFB3BN0	IO			DIFFIO_RX_B27n	DIFFOUT_B27n	AA13	DQSn4B	DQSn1B	B_CS#_1	B_CS#_1									
3B	VREFB3BN0	IO			DIFFIO_TX_B28n	DIFFOUT_B28n	AK7	DQ4B	DQ1B	B_A_13										
3B	VREFB3BN0	IO			DIFFIO_RX_B27p	DIFFOUT_B27p	Y12	DQS4B	DQS1B	B_CS#_0	B_CS#_0									
3B	VREFB3BN0	IO			DIFFIO_TX_B28p	DIFFOUT_B28p	AJ7			B_A_12										
3B	VREFB3BN0	IO			DIFFIO_TX_B29n	DIFFOUT_B29n	AK8	DQ4B	DQ1B	B_A_11										
3B	VREFB3BN0	IO			DIFFIO_RX_B30n	DIFFOUT_B30n	AG11	DQ4B	DQ1B	B_A_9	B_CA_9									
3B	VREFB3BN0	IO			DIFFIO_TX_B29p	DIFFOUT_B29p	AJ8	DQ4B	DQ1B	B_A_10										
3B	VREFB3BN0	IO			DIFFIO_RX_B30p	DIFFOUT_B30p	AF11	DQ4B	DQ1B	B_A_8	B_CA_8									
3B	VREFB3BN0	IO	"CLK0n,FPLL_BL_FBn"		DIFFIO_RX_B31n	DIFFOUT_B31n	AC14													
3B	VREFB3BN0	IO			DIFFIO_TX_B32n	DIFFOUT_B32n	AG9	DQ4B	DQ1B	B_RAS#										
3B	VREFB3BN0	IO	"CLK0p,FPLL_BL_FBp"		DIFFIO_RX_B31p	DIFFOUT_B31p	AB14													
3B	VREFB3BN0	IO			DIFFIO_TX_B32p	DIFFOUT_B32p	AF9	DQ4B	DQ1B	B_CAS#										
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	AJ9			GND	GND									
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AJ10	DQ5B		B_BA_2										
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AH9	DQ5B		B_BA_0										
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AH10	DQ5B		B_BA_1										
3B	VREFB3BN0	IO			DIFFIO_RX_B35n	DIFFOUT_B35n	AA14	DQSn5B		B_CK#	B_CK#									
3B	VREFB3BN0	IO			DIFFIO_TX_B36n	DIFFOUT_B36n	AK11	DQ5B		B_A_7	B_CA_7									
3B	VREFB3BN0	IO			DIFFIO_RX_B35p	DIFFOUT_B35p	Y13	DQS5B		B_CK	B_CK									
3B	VREFB3BN0	IO			DIFFIO_TX_B36p	DIFFOUT_B36p	AK10			B_A_6	B_CA_6									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B37n	DIFFOUT_B37n	AH12	DQ5B		B_A_3	B_CA_3									
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	AG14	DQ5B		B_A_5	B_CA_5									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB"		DIFFIO_TX_B37p	DIFFOUT_B37p	AH11	DQ5B		B_A_2	B_CA_2									
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	AG13	DQ5B		B_A_4	B_CA_4									
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B39n	DIFFOUT_B39n	AA15													
3B	VREFB3BN0	IO			DIFFIO_TX_B40n	DIFFOUT_B40n	AK12	DQ5B		B_A_1	B_CA_1									
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B39p	DIFFOUT_B39p	Y15													
3B	VREFB3BN0	IO			DIFFIO_TX_B40p	DIFFOUT_B40p	AJ12	DQ5B		B_A_0	B_CA_0									
4A	VREFB4AN0	IO	RZQ_0		DIFFIO_TX_B41n	DIFFOUT_B41n	AK13													
4A	VREFB4AN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AF15	DQ6B		B_DQ_0	B_DQ_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	AJ14	DQ6B		B_DQ_2	B_DQ_2									
4A	VREFB4AN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	AE16	DQ6B		B_DQ_1	B_DQ_1									
4A	VREFB4AN0	IO			DIFFIO_RX_B43n	DIFFOUT_B43n	AA16	DQSn6B		B_DQS#_0	B_DQS#_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B44n	DIFFOUT_B44n	AH15	DQ6B		B_DQ_3	B_DQ_3									
4A	VREFB4AN0	IO			DIFFIO_RX_B43p	DIFFOUT_B43p	Y16	DQS6B		B_DQS_0	B_DQS_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B44p	DIFFOUT_B44p	AH14			B_ODT_0	B_ODT_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B45n	DIFFOUT_B45n	AK15	DQ6B		B_ODT_1	B_ODT_1									
4A	VREFB4AN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AE17	DQ6B		B_DQ_4	B_DQ_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AJ15	DQ6B		B_DQ_6	B_DQ_6									
4A	VREFB4AN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	AD17	DQ6B		B_DQ_5	B_DQ_5									
4A	VREFB4AN0	IO	CLK2n		DIFFIO_RX_B47n	DIFFOUT_B47n	AC15													
4A	VREFB4AN0	IO			DIFFIO_TX_B48n	DIFFOUT_B48n	AF14	DQ6B		B_DQ_7	B_DQ_7									
4A	VREFB4AN0	IO	CLK2p		DIFFIO_RX_B47p	DIFFOUT_B47p	AB16													
4A	VREFB4AN0	IO			DIFFIO_TX_B48p	DIFFOUT_B48p	AE15	DQ6B		B_DM_0	B_DM_0									
4A	VREFB4AN0	IO			DIFFIO_TX_B49n	DIFFOUT_B49n	AH17			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	AK17	DQ7B	DQ2B	B_DQ_8	B_DQ_8									
4A	VREFB4AN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	AG17	DQ7B	DQ2B	B_DQ_10	B_DQ_10									
4A	VREFB4AN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	AK16	DQ7B	DQ2B	B_DQ_9	B_DQ_9									
4A	VREFB4AN0	IO			DIFFIO_RX_B51n	DIFFOUT_B51n	Y18	DQSn7B	DQ2B	B_DQS#_1	B_DQS#_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B52n	DIFFOUT_B52n	AJ18	DQ7B	DQ2B	B_DQ_11	B_DQ_11									
4A	VREFB4AN0	IO			DIFFIO_RX_B51p	DIFFOUT_B51p	Y17	DQS7B	DQ2B	B_DQS_1	B_DQS_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B52p	DIFFOUT_B52p	AJ17			B_CKE_1	B_CKE_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AK18	DQ7B	DQ2B	B_CKE_0	B_CKE_0									
4A	VREFB4AN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AG16	DQ7B	DQ2B	B_DQ_12	B_DQ_12									
4A	VREFB4AN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AJ19	DQ7B	DQ2B	B_DQ_14	B_DQ_14									
4A	VREFB4AN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AF16	DQ7B	DQ2B	B_DQ_13	B_DQ_13									
4A	VREFB4AN0	IO	CLK3n		DIFFIO_RX_B55n	DIFFOUT_B55n	AB18													
4A	VREFB4AN0	IO			DIFFIO_TX_B56n	DIFFOUT_B56n	AH20	DQ7B	DQ2B	B_DQ_15	B_DQ_15									
4A	VREFB4AN0	IO	CLK3p		DIFFIO_RX_B55p	DIFFOUT_B55p	AB17													
4A	VREFB4AN0	IO			DIFFIO_TX_B56p	DIFFOUT_B56p	AH19	DQ7B	DQ2B	B_DM_1	B_DM_1									
4A	VREFB4AN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AK20			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AE18	DQ8B	DQ2B	B_DQ_16	B_DQ_16									
4A	VREFB4AN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AJ20	DQ8B	DQ2B	B_DQ_18	B_DQ_18									
4A	VREFB4AN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AD18	DQ8B	DQ2B	B_DQ_17	B_DQ_17									
4A	VREFB4AN0	IO			DIFFIO_RX_B59n	DIFFOUT_B59n	AA20	DQSn8B	DQSn2B	B_DQS#_2	B_DQS#_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B60n	DIFFOUT_B60n	AK22	DQ8B	DQ2B	B_DQ_19	B_DQ_19									
4A	VREFB4AN0	IO			DIFFIO_RX_B59p	DIFFOUT_B59p	Y20	DQS8B	DQS2B	B_DQS_2	B_DQS_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B60p	DIFFOUT_B60p	AK21			B_RESET#	B_RESET#									
4A	VREFB4AN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	AJ22	DQ8B	DQ2B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AF19	DQ8B	DQ2B	B_DQ_20	B_DQ_20									
4A	VREFB4AN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	AH21	DQ8B	DQ2B	B_DQ_22	B_DQ_22									
4A	VREFB4AN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	AF18	DQ8B	DQ2B	B_DQ_21	B_DQ_21									
4A	VREFB4AN0	IO			DIFFIO_RX_B63n	DIFFOUT_B63n	AA19			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B64n	DIFFOUT_B64n	AK23	DQ8B	DQ2B	B_DQ_23	B_DQ_23									
4A	VREFB4AN0	IO			DIFFIO_RX_B63p	DIFFOUT_B63p	AA18			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B64p	DIFFOUT_B64p	AJ23	DQ8B	DQ2B	B_DM_2	B_DM_2									
4A	VREFB4AN0	IO			DIFFIO_TX_B65n	DIFFOUT_B65n	AJ24			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B66n	DIFFOUT_B66n	AG19	DQ9B	DQ3B	B_DQ_24	B_DQ_24									
4A	VREFB4AN0	IO			DIFFIO_TX_B65p	DIFFOUT_B65p	AH24	DQ9B	DQ3B	B_DQ_26	B_DQ_26									
4A	VREFB4AN0	IO			DIFFIO_RX_B66p	DIFFOUT_B66p	AG18	DQ9B	DQ3B	B_DQ_25	B_DQ_25									
4A	VREFB4AN0	IO			DIFFIO_RX_B67n	DIFFOUT_B67n	AC19	DQSn9B	DQ3B	B_DQS#_3	B_DQS#_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B68n	DIFFOUT_B68n	AK25	DQ9B	DQ3B	B_DQ_27	B_DQ_27									
4A	VREFB4AN0	IO			DIFFIO_RX_B67p	DIFFOUT_B67p	AB19	DQS9B	DQ3B	B_DQS_3	B_DQS_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B68p	DIFFOUT_B68p	AJ25			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B69n	DIFFOUT_B69n	AH25	DQ9B	DQ3B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B70n	DIFFOUT_B70n	AE20	DQ9B	DQ3B	B_DQ_28	B_DQ_28									
4A	VREFB4AN0	IO			DIFFIO_TX_B69p	DIFFOUT_B69p	AG24	DQ9B	DQ3B	B_DQ_30	B_DQ_30									
4A	VREFB4AN0	IO			DIFFIO_RX_B70p	DIFFOUT_B70p	AD19	DQ9B	DQ3B	B_DQ_29	B_DQ_29									
4A	VREFB4AN0	IO			DIFFIO_RX_B71n	DIFFOUT_B71n	AB21			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B72n	DIFFOUT_B72n	AK26	DQ9B	DQ3B	B_DQ_31	B_DQ_31									
4A	VREFB4AN0	IO			DIFFIO_RX_B71p	DIFFOUT_B71p	AA21			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B72p	DIFFOUT_B72p	AJ27	DQ9B	DQ3B	B_DM_3	B_DM_3									
4A	VREFB4AN0	IO			DIFFIO_TX_B73n	DIFFOUT_B73n	AK28			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B74n	DIFFOUT_B74n	AG21	DQ10B	DQ3B	B_DQ_32	B_DQ_32									
4A	VREFB4AN0	IO			DIFFIO_TX_B73p	DIFFOUT_B73p	AK27	DQ10B	DQ3B	B_DQ_34	B_DQ_34									
4A	VREFB4AN0	IO			DIFFIO_RX_B74p	DIFFOUT_B74p	AF20	DQ10B	DQ3B	B_DQ_33	B_DQ_33									
4A	VREFB4AN0	IO			DIFFIO_RX_B75n	DIFFOUT_B75n	AD20	DQSn10B	DQSn3B	B_DQS#_4	B_DQS#_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B76n	DIFFOUT_B76n	AH26	DQ10B	DQ3B	B_DQ_35	B_DQ_35									
4A	VREFB4AN0	IO			DIFFIO_RX_B75p	DIFFOUT_B75p	AC21	DQS10B	DQS3B	B_DQS_4	B_DQS_4									
4A	VREFB4AN0	IO			DIFFIO_TX_B76p	DIFFOUT_B76p	AG26			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B77n	DIFFOUT_B77n	AF23	DQ10B	DQ3B	GND	GND									
4A	VREFB4AN0	IO			DIFFIO_RX_B78n	DIFFOUT_B78n	AG22	DQ10B	DQ3B	B_DQ_36	B_DQ_36									
4A	VREFB4AN0	IO			DIFFIO_TX_B77p	DIFFOUT_B77p	AE22	DQ10B	DQ3B	B_DQ_38	B_DQ_38									
4A	VREFB4AN0	IO			DIFFIO_RX_B78p	DIFFOUT_B78p	AF21	DQ10B	DQ3B	B_DQ_37	B_DQ_37									
4A	VREFB4AN0	IO			DIFFIO_RX_B79n	DIFFOUT_B79n	AC22			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B80n	DIFFOUT_B80n	AH22	DQ10B	DQ3B	B_DQ_39	B_DQ_39									
4A	VREFB4AN0	IO			DIFFIO_RX_B79p	DIFFOUT_B79p	AB22			GND	GND									
4A	VREFB4AN0	IO			DIFFIO_TX_B80p	DIFFOUT_B80p	AG23	DQ10B	DQ3B	B_DM_4	B_DM_4									
5A	VREFB5AN0	IO	RZQ_1		DIFFIO_TX_R1p	DIFFOUT_R1p	AD23	DQ1R												
5A	VREFB5AN0	IO		INIT_DONE	DIFFIO_RX_R2p	DIFFOUT_R2p	W22													
5A	VREFB5AN0	IO		PR_REQUEST	DIFFIO_TX_R1n	DIFFOUT_R1n	AC24	DQ1R												
5A	VREFB5AN0	IO		CRC_ERROR	DIFFIO_RX_R2n	DIFFOUT_R2n	Y21													
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	AD24	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	Y25	DQ1R												
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	AD25	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	Y26	DQ1R												
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	AB26													
5A	VREFB5AN0	IO		nPERSTL0	DIFFIO_RX_R6p	DIFFOUT_R6p	Y23	DQS1R												
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	AA26	DQ1R												
5A	VREFB5AN0	IO		nPERSTL1	DIFFIO_RX_R6n	DIFFOUT_R6n	W24	DQSn1R												
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	AC26	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	Y22	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	AC27													
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	AA23	DQ1R												
5A	VREFB5AN0	IO			DIFFIO_RX_R9p	DIFFOUT_R9p	AA24													
5A	VREFB5AN0	IO			DIFFIO_TX_R10p	DIFFOUT_R10p	AE23	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R9n	DIFFOUT_R9n	AA25													
5A	VREFB5AN0	IO			DIFFIO_TX_R10n	DIFFOUT_R10n	AF24	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R11p	DIFFOUT_R11p	AE27	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R12p	DIFFOUT_R12p	AE25	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R11n	DIFFOUT_R11n	AD27	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R12n	DIFFOUT_R12n	AE26	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R13p	DIFFOUT_R13p	V21	DQS2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R14p	DIFFOUT_R14p	AF25													
5A	VREFB5AN0	IO			DIFFIO_RX_R13n	DIFFOUT_R13n	V22	DQSn2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R14n	DIFFOUT_R14n	AF26	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R15p	DIFFOUT_R15p	Y27	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R16p	DIFFOUT_R16p	AH27	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_RX_R15n	DIFFOUT_R15n	W27	DQ2R												
5A	VREFB5AN0	IO			DIFFIO_TX_R16n	DIFFOUT_R16n	AG27													
5B	VREFB5BN0	IO			DIFFIO_RX_R17p	DIFFOUT_R17p	V24													
5B	VREFB5BN0	IO			DIFFIO_TX_R18p	DIFFOUT_R18p	AJ28	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_RX_R17n	DIFFOUT_R17n	V25													
5B	VREFB5BN0	IO			DIFFIO_TX_R18n	DIFFOUT_R18n	AJ29	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_RX_R19p	DIFFOUT_R19p	AA28	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_TX_R20p	DIFFOUT_R20p	AH29	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_RX_R19n	DIFFOUT_R19n	Y28	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_TX_R20n	DIFFOUT_R20n	AG29	DQ3R	DQ1R											
5B	VREFB5BN0	IO			DIFFIO_RX_R21p	DIFFOUT_R21p	V26	DQS3R	DQS1R											
5B	VREFB5BN0	IO			DIFFIO_TX_R22p	DIFFOUT_R22p	AJ30													
