Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (3)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F29	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1D			REFCLK_GXBL1D_CHTp							N24				
1D			REFCLK_GXBL1D_CHTn							N23				
1D			GXBL1D_TX_CH5n							E27				
1D			GXBL1D_TX_CH5p							E28				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"							D25				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"							D26				
1D			GXBL1D_TX_CH4n							G27				
1D			GXBL1D_TX_CH4p							G28				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"							F25				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"							F26				
1D			GXBL1D_TX_CH3n							J27				
1D			GXBL1D_TX_CH3p							J28				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"							H25				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"							H26				
1D			GXBL1D_TX_CH2n							L27				
1D			GXBL1D_TX_CH2p							L28				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"							K25				
1D			"GXBL1D_RX_CH2p,GXBL1D_REFCLK2p"							K26				
1D			GXBL1D_TX_CH1n							N27				
1D			GXBL1D_TX_CH1p							N28				
1D			"GXBL1D_RX_CH1n,GXBL1D_REFCLK1n"							M25				
1D			"GXBL1D_RX_CH1p,GXBL1D_REFCLK1p"							M26				
1D			GXBL1D_TX_CH0n							R27				
1D			GXBL1D_TX_CH0p							R28				
1D			"GXBL1D_RX_CH0n,GXBL1D_REFCLK0n"							P25				
1D			"GXBL1D_RX_CH0p,GXBL1D_REFCLK0p"							P26				
1D			REFCLK_GXBL1D_CHBp							R24				
1D			REFCLK_GXBL1D_CHBn							R23				
1C			REFCLK_GXBL1C_CHTp							U24				
1C			REFCLK_GXBL1C_CHTn							U23				
1C			GXBL1C_TX_CH5n							U27				
1C			GXBL1C_TX_CH5p							U28				
1C			"GXBL1C_RX_CH5n,GXBL1C_REFCLK5n"							T25				
1C			"GXBL1C_RX_CH5p,GXBL1C_REFCLK5p"							T26				
1C			GXBL1C_TX_CH4n							W27				
1C			GXBL1C_TX_CH4p							W28				
1C			"GXBL1C_RX_CH4n,GXBL1C_REFCLK4n"							V25				
1C			"GXBL1C_RX_CH4p,GXBL1C_REFCLK4p"							V26				
1C			GXBL1C_TX_CH3n							AA27				
1C			GXBL1C_TX_CH3p							AA28				
1C			"GXBL1C_RX_CH3n,GXBL1C_REFCLK3n"							Y25				
1C			"GXBL1C_RX_CH3p,GXBL1C_REFCLK3p"							Y26				
1C			GXBL1C_TX_CH2n							AC27				
1C			GXBL1C_TX_CH2p							AC28				
1C			"GXBL1C_RX_CH2n,GXBL1C_REFCLK2n"							AB25				
1C			"GXBL1C_RX_CH2p,GXBL1C_REFCLK2p"							AB26				
1C			GXBL1C_TX_CH1n							AE27				
1C			GXBL1C_TX_CH1p							AE28				
1C			"GXBL1C_RX_CH1n,GXBL1C_REFCLK1n"							AD25				
1C			"GXBL1C_RX_CH1p,GXBL1C_REFCLK1p"							AD26				
1C			GXBL1C_TX_CH0n							AG27				
1C			GXBL1C_TX_CH0p							AG28				
1C			"GXBL1C_RX_CH0n,GXBL1C_REFCLK0n"							AF25				
1C			"GXBL1C_RX_CH0p,GXBL1C_REFCLK0p"							AF26				
1C			REFCLK_GXBL1C_CHBp							W24				
1C			REFCLK_GXBL1C_CHBn							W23				
2L	47	VREFB2LN0	IO	"GPIO1_IO23,NAND_ADQ15,Trace_D3,EMAC2_RXD3,SPIM0_SS0_N,SPIS1_MISO,EMAC0_MDC,I2C_EMAC0_SCL"		HPS_DIRECT_SHARED_Q4_12	DIFFIO2L_1n		No	H16	DQ0	DQ0	DQ0	DQ0
2L	46	VREFB2LN0	IO	"GPIO1_IO22,NAND_ADQ14,Trace_D2,EMAC2_RXD2,SPIM0_MISO,SPIS1_SS0_N,EMAC0_MDIO,I2C_EMAC0_SDA"		HPS_DIRECT_SHARED_Q4_11	DIFFIO2L_1p		No	H17	DQ0	DQ0	DQ0	DQ0
2L	45	VREFB2LN0	IO	"GPIO1_IO21,NAND_ADQ13,Trace_D1,EMAC2_TXD3,SDMMC_DATA7,SPIM0_MOSI,SPIS1_MOSI,I2C_EMAC2_SCL"		HPS_DIRECT_SHARED_Q4_10	DIFFIO2L_2n		No	J19	DQSn0	DQ0	DQ0	DQ0
2L	44	VREFB2LN0	IO	"GPIO1_IO20,NAND_ADQ12,Trace_D0,EMAC2_TXD2,SDMMC_DATA6,SPIM0_CLK,SPIS1_CLK,I2C_EMAC2_SDA"		HPS_DIRECT_SHARED_Q4_9	DIFFIO2L_2p		No	J18	DQS0	DQ0	DQ0	DQ0
2L	43	VREFB2LN0	IO	"GPIO1_IO19,NAND_ADQ11,Trace_CLK,EMAC2_RXD1,SDMMC_DATA5,SPIM0_SS0_N,EMAC1_MDC,I2C_EMAC1_SCL"		HPS_DIRECT_SHARED_Q4_8	DIFFIO2L_3n		No	K17	DQ0	DQ0	DQ0	DQ0
2L	42	VREFB2LN0	IO	"GPIO1_IO18,NAND_ADQ10,EMAC2_RXD0,SDMMC_DATA4,SPIM0_MISO,EMAC1_MDIO,I2C_EMAC1_SDA"		HPS_DIRECT_SHARED_Q4_7	DIFFIO2L_3p		No	J17	DQ0	DQ0	DQ0	DQ0
