Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F35	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1H			REFCLK_GXBL1H_CHTp						G26				
1H			REFCLK_GXBL1H_CHTn						G25				
1H			GXBL1H_TX_CH5n						A25				
1H			GXBL1H_TX_CH5p						A26				
1H			"GXBL1H_RX_CH5n,GXBL1H_REFCLK5n"						C25				
1H			"GXBL1H_RX_CH5p,GXBL1H_REFCLK5p"						C26				
1H			GXBL1H_TX_CH4n						A29				
1H			GXBL1H_TX_CH4p						A30				
1H			"GXBL1H_RX_CH4n,GXBL1H_REFCLK4n"						E25				
1H			"GXBL1H_RX_CH4p,GXBL1H_REFCLK4p"						E26				
1H			GXBL1H_TX_CH3n						B31				
1H			GXBL1H_TX_CH3p						B32				
1H			"GXBL1H_RX_CH3n,GXBL1H_REFCLK3n"						B27				
1H			"GXBL1H_RX_CH3p,GXBL1H_REFCLK3p"						B28				
1H			GXBL1H_TX_CH2n						C33				
1H			GXBL1H_TX_CH2p						C34				
1H			"GXBL1H_RX_CH2n,GXBL1H_REFCLK2n"						D27				
1H			"GXBL1H_RX_CH2p,GXBL1H_REFCLK2p"						D28				
1H			GXBL1H_TX_CH1n						D31				
1H			GXBL1H_TX_CH1p						D32				
1H			"GXBL1H_RX_CH1n,GXBL1H_REFCLK1n"						C29				
1H			"GXBL1H_RX_CH1p,GXBL1H_REFCLK1p"						C30				
1H			GXBL1H_TX_CH0n						E33				
1H			GXBL1H_TX_CH0p						E34				
1H			"GXBL1H_RX_CH0n,GXBL1H_REFCLK0n"						E29				
1H			"GXBL1H_RX_CH0p,GXBL1H_REFCLK0p"						E30				
1H			REFCLK_GXBL1H_CHBp						J26				
1H			REFCLK_GXBL1H_CHBn						J25				
1G			REFCLK_GXBL1G_CHTp						L26				
1G			REFCLK_GXBL1G_CHTn						L25				
1G			GXBL1G_TX_CH5n						F31				
1G			GXBL1G_TX_CH5p						F32				
1G			"GXBL1G_RX_CH5n,GXBL1G_REFCLK5n"						F27				
1G			"GXBL1G_RX_CH5p,GXBL1G_REFCLK5p"						F28				
1G			GXBL1G_TX_CH4n						G33				
1G			GXBL1G_TX_CH4p						G34				
1G			"GXBL1G_RX_CH4n,GXBL1G_REFCLK4n"						G29				
1G			"GXBL1G_RX_CH4p,GXBL1G_REFCLK4p"						G30				
1G			GXBL1G_TX_CH3n						H31				
1G			GXBL1G_TX_CH3p						H32				
1G			"GXBL1G_RX_CH3n,GXBL1G_REFCLK3n"						H27				
1G			"GXBL1G_RX_CH3p,GXBL1G_REFCLK3p"						H28				
1G			GXBL1G_TX_CH2n						J33				
1G			GXBL1G_TX_CH2p						J34				
1G			"GXBL1G_RX_CH2n,GXBL1G_REFCLK2n"						J29				
1G			"GXBL1G_RX_CH2p,GXBL1G_REFCLK2p"						J30				
1G			GXBL1G_TX_CH1n						K31				
1G			GXBL1G_TX_CH1p						K32				
1G			"GXBL1G_RX_CH1n,GXBL1G_REFCLK1n"						K27				
1G			"GXBL1G_RX_CH1p,GXBL1G_REFCLK1p"						K28				
1G			GXBL1G_TX_CH0n						L33				
1G			GXBL1G_TX_CH0p						L34				
1G			"GXBL1G_RX_CH0n,GXBL1G_REFCLK0n"						L29				
1G			"GXBL1G_RX_CH0p,GXBL1G_REFCLK0p"						L30				
1G			REFCLK_GXBL1G_CHBp						N26				
1G			REFCLK_GXBL1G_CHBn						N25				
1F			REFCLK_GXBL1F_CHTp						R26				
1F			REFCLK_GXBL1F_CHTn						R25				
1F			GXBL1F_TX_CH5n						M31				
1F			GXBL1F_TX_CH5p						M32				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"						M27				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"						M28				
1F			GXBL1F_TX_CH4n						N33				
1F			GXBL1F_TX_CH4p						N34				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"						N29				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"						N30				
1F			GXBL1F_TX_CH3n						P31				
1F			GXBL1F_TX_CH3p						P32				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"						P27				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"						P28				
1F			GXBL1F_TX_CH2n						R33				
1F			GXBL1F_TX_CH2p						R34				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"						R29				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"						R30				
1F			GXBL1F_TX_CH1n						T31				
