Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	HPS Function (3)	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F34	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
1F			REFCLK_GXBL1F_CHTp							M28				
1F			REFCLK_GXBL1F_CHTn							M27				
1F			GXBL1F_TX_CH5n							B31				
1F			GXBL1F_TX_CH5p							B32				
1F			"GXBL1F_RX_CH5n,GXBL1F_REFCLK5n"							C29				
1F			"GXBL1F_RX_CH5p,GXBL1F_REFCLK5p"							C30				
1F			GXBL1F_TX_CH4n							D31				
1F			GXBL1F_TX_CH4p							D32				
1F			"GXBL1F_RX_CH4n,GXBL1F_REFCLK4n"							E29				
1F			"GXBL1F_RX_CH4p,GXBL1F_REFCLK4p"							E30				
1F			GXBL1F_TX_CH3n							F31				
1F			GXBL1F_TX_CH3p							F32				
1F			"GXBL1F_RX_CH3n,GXBL1F_REFCLK3n"							G29				
1F			"GXBL1F_RX_CH3p,GXBL1F_REFCLK3p"							G30				
1F			GXBL1F_TX_CH2n							H31				
1F			GXBL1F_TX_CH2p							H32				
1F			"GXBL1F_RX_CH2n,GXBL1F_REFCLK2n"							J29				
1F			"GXBL1F_RX_CH2p,GXBL1F_REFCLK2p"							J30				
1F			GXBL1F_TX_CH1n							C33				
1F			GXBL1F_TX_CH1p							C34				
1F			"GXBL1F_RX_CH1n,GXBL1F_REFCLK1n"							K31				
1F			"GXBL1F_RX_CH1p,GXBL1F_REFCLK1p"							K32				
1F			GXBL1F_TX_CH0n							E33				
1F			GXBL1F_TX_CH0p							E34				
1F			"GXBL1F_RX_CH0n,GXBL1F_REFCLK0n"							L29				
1F			"GXBL1F_RX_CH0p,GXBL1F_REFCLK0p"							L30				
1F			REFCLK_GXBL1F_CHBp							P28				
1F			REFCLK_GXBL1F_CHBn							P27				
1E			REFCLK_GXBL1E_CHTp							T28				
1E			REFCLK_GXBL1E_CHTn							T27				
1E			GXBL1E_TX_CH5n							G33				
1E			GXBL1E_TX_CH5p							G34				
1E			"GXBL1E_RX_CH5n,GXBL1E_REFCLK5n"							M31				
1E			"GXBL1E_RX_CH5p,GXBL1E_REFCLK5p"							M32				
1E			GXBL1E_TX_CH4n							J33				
1E			GXBL1E_TX_CH4p							J34				
1E			"GXBL1E_RX_CH4n,GXBL1E_REFCLK4n"							N29				
1E			"GXBL1E_RX_CH4p,GXBL1E_REFCLK4p"							N30				
1E			GXBL1E_TX_CH3n							L33				
1E			GXBL1E_TX_CH3p							L34				
1E			"GXBL1E_RX_CH3n,GXBL1E_REFCLK3n"							P31				
1E			"GXBL1E_RX_CH3p,GXBL1E_REFCLK3p"							P32				
1E			GXBL1E_TX_CH2n							N33				
1E			GXBL1E_TX_CH2p							N34				
1E			"GXBL1E_RX_CH2n,GXBL1E_REFCLK2n"							R29				
1E			"GXBL1E_RX_CH2p,GXBL1E_REFCLK2p"							R30				
1E			GXBL1E_TX_CH1n							R33				
1E			GXBL1E_TX_CH1p							R34				
1E			"GXBL1E_RX_CH1n,GXBL1E_REFCLK1n"							T31				
1E			"GXBL1E_RX_CH1p,GXBL1E_REFCLK1p"							T32				
1E			GXBL1E_TX_CH0n							U33				
1E			GXBL1E_TX_CH0p							U34				
1E			"GXBL1E_RX_CH0n,GXBL1E_REFCLK0n"							U29				
1E			"GXBL1E_RX_CH0p,GXBL1E_REFCLK0p"							U30				
1E			REFCLK_GXBL1E_CHBp							V28				
1E			REFCLK_GXBL1E_CHBn							V27				
1D			REFCLK_GXBL1D_CHTp							Y28				
1D			REFCLK_GXBL1D_CHTn							Y27				
1D			GXBL1D_TX_CH5n							W33				
1D			GXBL1D_TX_CH5p							W34				
1D			"GXBL1D_RX_CH5n,GXBL1D_REFCLK5n"							V31				
1D			"GXBL1D_RX_CH5p,GXBL1D_REFCLK5p"							V32				
1D			GXBL1D_TX_CH4n							AA33				
1D			GXBL1D_TX_CH4p							AA34				
1D			"GXBL1D_RX_CH4n,GXBL1D_REFCLK4n"							W29				
1D			"GXBL1D_RX_CH4p,GXBL1D_REFCLK4p"							W30				
1D			GXBL1D_TX_CH3n							AC33				
1D			GXBL1D_TX_CH3p							AC34				
1D			"GXBL1D_RX_CH3n,GXBL1D_REFCLK3n"							Y31				
1D			"GXBL1D_RX_CH3p,GXBL1D_REFCLK3p"							Y32				
1D			GXBL1D_TX_CH2n							AE33				
1D			GXBL1D_TX_CH2p							AE34				
1D			"GXBL1D_RX_CH2n,GXBL1D_REFCLK2n"							AA29				
