Device/Package xc7vx485tffg1157 8/18/2011 15:57:47,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
W16,DXN_0,NA,0,NA,NA,CONFIG,NA
T17,VCCADC_0,NA,0,NA,NA,CONFIG,NA
T16,GNDADC_0,NA,0,NA,NA,CONFIG,NA
W17,DXP_0,NA,0,NA,NA,CONFIG,NA
V16,VREFN_0,NA,0,NA,NA,CONFIG,NA
V17,VREFP_0,NA,0,NA,NA,CONFIG,NA
U17,VP_0,NA,0,NA,NA,CONFIG,NA
U16,VN_0,NA,0,NA,NA,CONFIG,NA
P9,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
T9,CCLK_0,NA,0,NA,NA,CONFIG,NA
M8,TCK_0,NA,0,NA,NA,CONFIG,NA
N9,TMS_0,NA,0,NA,NA,CONFIG,NA
N8,TDO_0,NA,0,NA,NA,CONFIG,NA
L8,TDI_0,NA,0,NA,NA,CONFIG,NA
T8,INIT_B_0,NA,0,NA,NA,CONFIG,NA
U8,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
V9,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
V8,DONE_0,NA,0,NA,NA,CONFIG,NA
Y8,M2_0,NA,0,NA,NA,CONFIG,NA
AC8,M0_0,NA,0,NA,NA,CONFIG,NA
AB8,M1_0,NA,0,NA,NA,CONFIG,NA
AF25,IO_0_VRN_14,NA,14,0,NA,HP,NA
AN33,IO_L1P_T0_D00_MOSI_14,0,14,0,NA,HP,NA
AN34,IO_L1N_T0_D01_DIN_14,0,14,0,NA,HP,NA
AK34,IO_L2P_T0_D02_14,0,14,0,NA,HP,NA
AL34,IO_L2N_T0_D03_14,0,14,0,NA,HP,NA
AP32,IO_L3P_T0_DQS_PUDC_B_14,0,14,0,NA,HP,NA
AP33,IO_L3N_T0_DQS_EMCCLK_14,0,14,0,NA,HP,NA
AK32,IO_L4P_T0_D04_14,0,14,0,NA,HP,NA
AK33,IO_L4N_T0_D05_14,0,14,0,NA,HP,NA
AM32,IO_L5P_T0_D06_14,0,14,0,NA,HP,NA
AN32,IO_L5N_T0_D07_14,0,14,0,NA,HP,NA
AL33,IO_L6P_T0_FCS_B_14,0,14,0,NA,HP,NA
