"Pin Information for the Stratix® V 5SGXA3 Device 
Version 1.2 
Note (1)"													
Bank Number	VREF	Pin Name/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	H780	DQS for X4	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 									
GXB_L1		REFCLK3Lp					L22													
GXB_L1		REFCLK3Ln					L23													
GXB_L1		GXB_TX_L11n					D26													
GXB_L1		GXB_TX_L11p					D25													
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					C28													
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					C27													
GXB_L1		GXB_TX_L10n					F26													
GXB_L1		GXB_TX_L10p					F25													
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					E28													
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					E27													
GXB_L1		GXB_TX_L9n					H26													
GXB_L1		GXB_TX_L9p					H25													
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					G28													
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					G27													
GXB_L1		GXB_TX_L8n					K26													
GXB_L1		GXB_TX_L8p					K25													
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					J28													
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					J27													
GXB_L1		GXB_TX_L7n					M26													
GXB_L1		GXB_TX_L7p					M25													
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					L28													
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					L27													
GXB_L1		GXB_TX_L6n					P26													
GXB_L1		GXB_TX_L6p					P25													
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					N28													
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					N27													
GXB_L1		REFCLK2Lp					N23													
GXB_L1		REFCLK2Ln					N24													
GXB_L0		REFCLK1Lp					R22													
GXB_L0		REFCLK1Ln					R23													
GXB_L0		GXB_TX_L5n					T26													
GXB_L0		GXB_TX_L5p					T25													
GXB_L0		"GXB_RX_L5n,GXB_REFCLK_L5n"					R28													
GXB_L0		"GXB_RX_L5p,GXB_REFCLK_L5p"					R27													
GXB_L0		GXB_TX_L4n					V26													
GXB_L0		GXB_TX_L4p					V25													
GXB_L0		"GXB_RX_L4n,GXB_REFCLK_L4n"					U28													
GXB_L0		"GXB_RX_L4p,GXB_REFCLK_L4p"					U27													
GXB_L0		GXB_TX_L3n					Y26													
GXB_L0		GXB_TX_L3p					Y25													
GXB_L0		"GXB_RX_L3n,GXB_REFCLK_L3n"					W28													
