Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F780		
B1	VREFB1N0	IO			DIFFIO_L1p	D3		
B1	VREFB1N0	IO			DIFFIO_L1n	C2		
B1	VREFB1N0	IO			DIFFIO_L2p	D2		
B1	VREFB1N0	IO			DIFFIO_L2n	D1		
B1	VREFB1N0	IO	VREFB1N0			H7		
B1	VREFB1N0	IO			DIFFIO_L3p	G6		
B1	VREFB1N0	IO			DIFFIO_L3n	G5		
B1	VREFB1N0	IO			DIFFIO_L4p	E3		
B1	VREFB1N0	IO			DIFFIO_L4n	F3		
B1	VREFB1N0	IO			DIFFIO_L5p	F5		
B1	VREFB1N0	IO		"DATA1,ASDO"	DIFFIO_L5n	F4		
B1	VREFB1N0	IO				H6		
B1	VREFB1N0	IO			DIFFIO_L6p	G4		
B1	VREFB1N0	IO			DIFFIO_L6n	G3		
B1	VREFB1N0	IO		"FLASH_nCE,nCSO"	DIFFIO_L8p	E2		
B1	VREFB1N0	IO			DIFFIO_L8n	E1		
B1	VREFB1N1	IO			DIFFIO_L9p	F2		
B1	VREFB1N1	IO			DIFFIO_L9n	F1		
B1	VREFB1N1	IO				H5		
B1	VREFB1N1	IO	VREFB1N1			L5		
B1	VREFB1N1	IO			DIFFIO_L10p	J4		
B1	VREFB1N1	IO			DIFFIO_L10n	J3		
B1	VREFB1N1	nSTATUS		nSTATUS		M6		
B1	VREFB1N1	IO			DIFFIO_L11p	G2		
B1	VREFB1N1	IO			DIFFIO_L11n	G1		
B1	VREFB1N1	IO			DIFFIO_L12p	K2		
B1	VREFB1N1	IO			DIFFIO_L12n	K1		
B1	VREFB1N1	IO			DIFFIO_L13p	K4		
B1	VREFB1N1	IO			DIFFIO_L13n	K3		
B1	VREFB1N1	IO			DIFFIO_L15p	M4		
B1	VREFB1N1	IO			DIFFIO_L15n	M3		
B1	VREFB1N1	IO			DIFFIO_L16p	J6		
B1	VREFB1N1	IO			DIFFIO_L16n	J5		
B1	VREFB1N1	IO			DIFFIO_L17p	J7		
B1	VREFB1N1	IO			DIFFIO_L17n	K7		
B1	VREFB1N2	IO			DIFFIO_L18p	K8		
B1	VREFB1N2	IO			DIFFIO_L18n	L8		
B1	VREFB1N2	IO	VREFB1N2			M5		
B1	VREFB1N2	IO			DIFFIO_L19p	L7		
B1	VREFB1N2	IO			DIFFIO_L19n	L6		
B1	VREFB1N2	IO			DIFFIO_L20p	N4		
B1	VREFB1N2	IO			DIFFIO_L20n	N3		
B1	VREFB1N2	IO			DIFFIO_L21p	M8		
B1	VREFB1N2	IO			DIFFIO_L21n	M7		
B1	VREFB1N2	IO			DIFFIO_L22p	L2		
B1	VREFB1N2	IO			DIFFIO_L22n	L1		
B1	VREFB1N2	IO			DIFFIO_L23p	M2		
