Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F484		
B1	VREFB1N0	IO				H5		
B1	VREFB1N0	IO			DIFFIO_L1p	B2		
B1	VREFB1N0	IO			DIFFIO_L1n	B1		
B1	VREFB1N0	IO				G5		
B1	VREFB1N0	IO			DIFFIO_L2p	E4		
B1	VREFB1N0	IO			DIFFIO_L2n	E3		
B1	VREFB1N0	IO			DIFFIO_L4p	D2		
B1	VREFB1N0	IO		"DATA1,ASDO"	DIFFIO_L4n	D1		
B1	VREFB1N0	IO	VREFB1N0			H7		
B1	VREFB1N0	IO			DIFFIO_L5p	H6		
B1	VREFB1N0	IO			DIFFIO_L5n	J6		
B1	VREFB1N0	IO		"FLASH_nCE,nCSO"	DIFFIO_L6p	E2		
B1	VREFB1N0	IO			DIFFIO_L6n	E1		
B1	VREFB1N0	IO			DIFFIO_L7p	F2		
B1	VREFB1N0	IO			DIFFIO_L7n	F1		
B1	VREFB1N0	IO			DIFFIO_L8p	G4		
B1	VREFB1N0	IO			DIFFIO_L8n	G3		
B1	VREFB1N1	nSTATUS		nSTATUS		K6		
B1	VREFB1N1	IO			DIFFIO_L9p	L8		
B1	VREFB1N1	IO			DIFFIO_L9n	K8		
B1	VREFB1N1	IO			DIFFIO_L10p	J7		
B1	VREFB1N1	IO			DIFFIO_L10n	K7		
B1	VREFB1N1	IO				J4		
B1	VREFB1N1	IO			DIFFIO_L11p	H2		
B1	VREFB1N1	IO			DIFFIO_L11n	H1		
B1	VREFB1N1	IO	VREFB1N1			J3		
B1	VREFB1N1	IO			DIFFIO_L12p	J2		
B1	VREFB1N1	IO			DIFFIO_L12n	J1		
B1	VREFB1N1	IO		DCLK		K2		
B1	VREFB1N1	IO		DATA0		K1		
B1	VREFB1N1	nCONFIG		nCONFIG		K5		
B1	VREFB1N1	TDI		TDI		L5		
B1	VREFB1N1	TCK		TCK		L2		
B1	VREFB1N1	TMS		TMS		L1		
B1	VREFB1N1	TDO		TDO		L4		
B1	VREFB1N1	nCE		nCE		L3		
B1	VREFB1N1	CLK0	DIFFCLK_0p			G2		
B1	VREFB1N1	CLK1	DIFFCLK_0n			G1		
B2	VREFB2N0	CLK2	DIFFCLK_1p			T2		
B2	VREFB2N0	CLK3	DIFFCLK_1n			T1		
B2	VREFB2N0	IO			DIFFIO_L13p	L6		
B2	VREFB2N0	IO			DIFFIO_L13n	M6		
B2	VREFB2N0	IO			DIFFIO_L14p	M2		
B2	VREFB2N0	IO			DIFFIO_L14n	M1		
B2	VREFB2N0	IO			DIFFIO_L15p	M4		
B2	VREFB2N0	IO			DIFFIO_L15n	M3		
B2	VREFB2N0	IO			DIFFIO_L16p	N2		
B2	VREFB2N0	IO			DIFFIO_L16n	N1		
B2	VREFB2N0	IO				L7		
B2	VREFB2N0	IO	VREFB2N0			M5		
B2	VREFB2N0	IO			DIFFIO_L17p	P2		
B2	VREFB2N0	IO			DIFFIO_L17n	P1		
B2	VREFB2N0	IO			DIFFIO_L18p	R2		
B2	VREFB2N0	IO			DIFFIO_L18n	R1		
B2	VREFB2N0	IO				N5		
B2	VREFB2N0	IO			DIFFIO_L19p	P4		
B2	VREFB2N0	IO			DIFFIO_L19n	P3		
B2	VREFB2N0	IO			DIFFIO_L20p	U2		
B2	VREFB2N0	IO			DIFFIO_L20n	U1		
B2	VREFB2N0	IO			DIFFIO_L21p	V2		
B2	VREFB2N0	IO			DIFFIO_L21n	V1		
B2	VREFB2N0	IO				P5		
B2	VREFB2N0	IO			DIFFIO_L22p	N6		
B2	VREFB2N0	IO			DIFFIO_L22n	M7		
B2	VREFB2N1	IO			DIFFIO_L23p	M8		
B2	VREFB2N1	IO			DIFFIO_L23n	N8		
B2	VREFB2N1	IO			DIFFIO_L24p	W2		
B2	VREFB2N1	IO			DIFFIO_L24n	W1		
B2	VREFB2N1	IO			DIFFIO_L25p	Y2		
B2	VREFB2N1	IO			DIFFIO_L25n	Y1		
B2	VREFB2N1	IO	VREFB2N1			T3		
B2	VREFB2N1	IO			DIFFIO_L26p	N7		
B2	VREFB2N1	IO			DIFFIO_L26n	P7		
B2	VREFB2N1	IO	RUP1			V4		
B2	VREFB2N1	IO	RDN1			V3		
B2	VREFB2N1	IO			DIFFIO_L28p	P6		
B2	VREFB2N1	IO			DIFFIO_L28n	R5		
B2	VREFB2N1	IO				T4		
B2	VREFB2N1	IO			DIFFIO_L29p	T5		
B2	VREFB2N1	IO			DIFFIO_L29n	R6		
B2	VREFB2N1	IO			DIFFIO_L30p	R7		
B2	VREFB2N1	IO			DIFFIO_L30n	T7		
B2	VREFB2N1	IO			DIFFIO_L31p	P8		
B2	VREFB2N1	IO			DIFFIO_L31n	R8		
B3	VREFB3N1	IO			DIFFIO_B1p	R9		
B3	VREFB3N1	IO			DIFFIO_B1n	T8		
B3	VREFB3N1	IO			DIFFIO_B2p	R10		
B3	VREFB3N1	IO			DIFFIO_B2n	T9		
B3	VREFB3N1	IO			DIFFIO_B3p	V6		
B3	VREFB3N1	IO			DIFFIO_B3n	V5		
B3	VREFB3N1	IO			DIFFIO_B4p	U7		
B3	VREFB3N1	IO			DIFFIO_B4n	U8		
B3	VREFB3N1	IO	VREFB3N1			Y4		
B3	VREFB3N1	IO			DIFFIO_B5p	R11		
B3	VREFB3N1	IO			DIFFIO_B5n	R12		
B3	VREFB3N1	IO			DIFFIO_B6p	Y3		
B3	VREFB3N1	IO				Y6		
B3	VREFB3N1	IO	PLL1_CLKOUTp			AA3		
B3	VREFB3N1	IO	PLL1_CLKOUTn			AB3		
B3	VREFB3N1	IO			DIFFIO_B7p	W6		
B3	VREFB3N1	IO			DIFFIO_B7n	V7		
B3	VREFB3N1	IO			DIFFIO_B8p	AA4		
B3	VREFB3N1	IO			DIFFIO_B8n	AB4		
B3	VREFB3N1	IO			DIFFIO_B9p	AA5		
B3	VREFB3N1	IO			DIFFIO_B9n	AB5		
B3	VREFB3N1	IO			DIFFIO_B10p	W7		
B3	VREFB3N0	IO			DIFFIO_B10n	Y7		
B3	VREFB3N0	IO			DIFFIO_B11p	U9		
B3	VREFB3N0	IO			DIFFIO_B11n	V8		
B3	VREFB3N0	IO				W8		
B3	VREFB3N0	IO			DIFFIO_B12p	AA7		
B3	VREFB3N0	IO			DIFFIO_B12n	AB7		
B3	VREFB3N0	IO			DIFFIO_B13p	Y8		
B3	VREFB3N0	IO	VREFB3N0			V9		
B3	VREFB3N0	IO				V10		
B3	VREFB3N0	IO			DIFFIO_B14p	T10		
B3	VREFB3N0	IO			DIFFIO_B14n	U10		
B3	VREFB3N0	IO			DIFFIO_B15p	AA8		
B3	VREFB3N0	IO			DIFFIO_B15n	AB8		
B3	VREFB3N0	IO				T11		
B3	VREFB3N0	IO			DIFFIO_B16p	AA9		
B3	VREFB3N0	IO			DIFFIO_B16n	AB9		
B3	VREFB3N0	IO				U11		
B3	VREFB3N0	IO			DIFFIO_B17p	V11		
B3	VREFB3N0	IO			DIFFIO_B17n	W10		
B3	VREFB3N0	IO			DIFFIO_B18p	Y10		
B3	VREFB3N0	IO			DIFFIO_B18n	AA10		
B3	VREFB3N0	IO				AB10		
B3	VREFB3N0	CLK15	DIFFCLK_6p			AA11		
B3	VREFB3N0	CLK14	DIFFCLK_6n			AB11		
B4	VREFB4N1	CLK13	DIFFCLK_7p			AA12		
B4	VREFB4N1	CLK12	DIFFCLK_7n			AB12		
B4	VREFB4N1	IO			DIFFIO_B19p	AA13		
B4	VREFB4N1	IO			DIFFIO_B19n	AB13		
B4	VREFB4N1	IO			DIFFIO_B20p	AA14		
B4	VREFB4N1	IO			DIFFIO_B20n	AB14		
B4	VREFB4N1	IO				V12		
B4	VREFB4N1	IO			DIFFIO_B21p	W13		
B4	VREFB4N1	IO			DIFFIO_B21n	Y13		
B4	VREFB4N1	IO			DIFFIO_B22p	AA15		
B4	VREFB4N1	IO			DIFFIO_B22n	AB15		
B4	VREFB4N1	IO			DIFFIO_B23p	U12		
B4	VREFB4N1	IO			DIFFIO_B23n	T12		
B4	VREFB4N1	IO			DIFFIO_B24p	AA16		
B4	VREFB4N1	IO			DIFFIO_B24n	AB16		
B4	VREFB4N1	IO				R13		
B4	VREFB4N1	IO				V13		
B4	VREFB4N1	IO	VREFB4N1			W14		
B4	VREFB4N0	IO			DIFFIO_B26p	U13		
B4	VREFB4N0	IO			DIFFIO_B26n	V14		
B4	VREFB4N0	IO			DIFFIO_B27p	V15		
B4	VREFB4N0	IO			DIFFIO_B27n	W15		
B4	VREFB4N0	IO			DIFFIO_B28p	T14		
B4	VREFB4N0	IO			DIFFIO_B28n	T15		
B4	VREFB4N0	IO				AB18		
B4	VREFB4N0	IO				AA18		
B4	VREFB4N0	IO	RUP2			AA19		
B4	VREFB4N0	IO	RDN2			AB19		
B4	VREFB4N0	IO			DIFFIO_B29p	W17		
B4	VREFB4N0	IO			DIFFIO_B29n	Y17		
B4	VREFB4N0	IO	VREFB4N0			V16		
B4	VREFB4N0	IO			DIFFIO_B30p	AA20		
B4	VREFB4N0	IO			DIFFIO_B30n	AB20		
B4	VREFB4N0	IO	PLL4_CLKOUTp			T16		
B4	VREFB4N0	IO	PLL4_CLKOUTn			R16		
B4	VREFB4N0	IO			DIFFIO_B31p	U15		
B4	VREFB4N0	IO			DIFFIO_B31n	U14		
B4	VREFB4N0	IO			DIFFIO_B32p	R14		
B4	VREFB4N0	IO			DIFFIO_B32n	R15		
B5	VREFB5N1	IO			DIFFIO_R35n	AA22		
B5	VREFB5N1	IO			DIFFIO_R35p	AA21		
B5	VREFB5N1	IO				P14		
B5	VREFB5N1	IO	RUP3			T17		
B5	VREFB5N1	IO	RDN3			T18		
B5	VREFB5N1	IO			DIFFIO_R34n	W20		
B5	VREFB5N1	IO			DIFFIO_R34p	W19		
B5	VREFB5N1	IO			DIFFIO_R33n	Y22		
B5	VREFB5N1	IO			DIFFIO_R33p	Y21		
B5	VREFB5N1	IO			DIFFIO_R32n	U20		
B5	VREFB5N1	IO			DIFFIO_R32p	U19		
B5	VREFB5N1	IO				N14		
B5	VREFB5N1	IO			DIFFIO_R31n	W22		
B5	VREFB5N1	IO			DIFFIO_R31p	W21		
B5	VREFB5N1	IO			DIFFIO_R30n	P15		
B5	VREFB5N1	IO			DIFFIO_R30p	P16		
B5	VREFB5N1	IO	VREFB5N1			R17		
B5	VREFB5N1	IO			DIFFIO_R29n	M15		
B5	VREFB5N1	IO			DIFFIO_R29p	N15		
B5	VREFB5N1	IO				P17		
B5	VREFB5N1	IO			DIFFIO_R28n	V22		
B5	VREFB5N1	IO			DIFFIO_R28p	V21		
B5	VREFB5N1	IO				R20		
B5	VREFB5N0	IO			DIFFIO_R27n	U22		
