Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	F484		
B1	VREFB1N0	IO			DIFFIO_L1p	G4		
B1	VREFB1N0	IO			DIFFIO_L1n	G3		
B1	VREFB1N0	IO			DIFFIO_L2p	B2		
B1	VREFB1N0	IO			DIFFIO_L2n	B1		
B1	VREFB1N0	IO	VREFB1N0			G5		
B1	VREFB1N0	IO			DIFFIO_L3p	E4		
B1	VREFB1N0	IO			DIFFIO_L3n	E3		
B1	VREFB1N0	IO			DIFFIO_L5p	D2		
B1	VREFB1N0	IO		"DATA1,ASDO"	DIFFIO_L5n	D1		
B1	VREFB1N0	IO				H7		
B1	VREFB1N0	IO			DIFFIO_L6p	H6		
B1	VREFB1N0	IO			DIFFIO_L6n	J6		
B1	VREFB1N0	IO			DIFFIO_L7p	H4		
B1	VREFB1N1	IO			DIFFIO_L7n	H3		
B1	VREFB1N1	IO		"FLASH_nCE,nCSO"	DIFFIO_L8p	E2		
B1	VREFB1N1	IO			DIFFIO_L8n	E1		
B1	VREFB1N1	IO			DIFFIO_L9p	F2		
B1	VREFB1N1	IO			DIFFIO_L9n	F1		
B1	VREFB1N1	IO				J5		
B1	VREFB1N1	IO	VREFB1N1			H5		
B1	VREFB1N1	nSTATUS		nSTATUS		K6		
B1	VREFB1N1	IO			DIFFIO_L12p	J4		
B1	VREFB1N1	IO			DIFFIO_L13p	H2		
B1	VREFB1N1	IO			DIFFIO_L13n	H1		
B1	VREFB1N2	IO	VREFB1N2			J3		
B1	VREFB1N2	IO			DIFFIO_L17p	J2		
B1	VREFB1N2	IO			DIFFIO_L17n	J1		
B1	VREFB1N2	IO		DCLK		K2		
B1	VREFB1N2	IO		DATA0		K1		
B1	VREFB1N2	nCONFIG		nCONFIG		K5		
B1	VREFB1N2	TDI		TDI		L5		
B1	VREFB1N2	TCK		TCK		L2		
B1	VREFB1N2	TMS		TMS		L1		
B1	VREFB1N2	TDO		TDO		L4		
B1	VREFB1N2	nCE		nCE		L3		
B1	VREFB1N2	CLK0	DIFFCLK_0p			G2		
B1	VREFB1N2	CLK1	DIFFCLK_0n			G1		
B2	VREFB2N0	CLK2	DIFFCLK_1p			T2		
B2	VREFB2N0	CLK3	DIFFCLK_1n			T1		
B2	VREFB2N0	IO			DIFFIO_L19p	L6		
B2	VREFB2N0	IO			DIFFIO_L19n	M6		
B2	VREFB2N0	IO			DIFFIO_L20p	M2		
B2	VREFB2N0	IO			DIFFIO_L20n	M1		
B2	VREFB2N0	IO			DIFFIO_L21p	M4		
B2	VREFB2N0	IO			DIFFIO_L21n	M3		
B2	VREFB2N0	IO			DIFFIO_L22p	N2		
B2	VREFB2N0	IO			DIFFIO_L22n	N1		
B2	VREFB2N0	IO	VREFB2N0			M5		
B2	VREFB2N0	IO			DIFFIO_L23p	P2		
B2	VREFB2N0	IO			DIFFIO_L23n	P1		
B2	VREFB2N0	IO			DIFFIO_L24p	R2		
B2	VREFB2N0	IO			DIFFIO_L24n	R1		
B2	VREFB2N0	IO			DIFFIO_L25n	N5		
B2	VREFB2N1	IO			DIFFIO_L26p	P4		
B2	VREFB2N1	IO			DIFFIO_L26n	P3		
