Bank Number	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Emulated LVDS Output Channel	U484		
B1	VREFB1N0	IO			DIFFIO_L1p	G4		
B1	VREFB1N0	IO			DIFFIO_L1n	G3		
B1	VREFB1N0	IO			DIFFIO_L2p	B2		
B1	VREFB1N0	IO			DIFFIO_L2n	B1		
B1	VREFB1N0	IO	VREFB1N0			G5		
B1	VREFB1N0	IO			DIFFIO_L4p	E4		
B1	VREFB1N0	IO			DIFFIO_L4n	E3		
B1	VREFB1N1	IO			DIFFIO_L8p	D2		
B1	VREFB1N1	IO		"DATA1,ASDO"	DIFFIO_L8n	D1		
B1	VREFB1N1	IO	VREFB1N1			H7		
B1	VREFB1N1	IO			DIFFIO_L9p	H6		
B1	VREFB1N1	IO			DIFFIO_L9n	J6		
B1	VREFB1N1	IO		"FLASH_nCE,nCSO"	DIFFIO_L10p	E2		
B1	VREFB1N1	IO			DIFFIO_L10n	E1		
B1	VREFB1N1	IO			DIFFIO_L12p	F2		
B1	VREFB1N1	IO			DIFFIO_L12n	F1		
B1	VREFB1N1	IO			DIFFIO_L14p	H8		
B1	VREFB1N1	IO			DIFFIO_L14n	J8		
B1	VREFB1N2	IO			DIFFIO_L18n	J5		
B1	VREFB1N2	nSTATUS		nSTATUS		K6		
B1	VREFB1N2	IO	VREFB1N2			H5		
B1	VREFB1N2	IO			DIFFIO_L20p	L8		
B1	VREFB1N2	IO			DIFFIO_L20n	K8		
B1	VREFB1N2	IO			DIFFIO_L21p	J7		
B1	VREFB1N2	IO			DIFFIO_L21n	K7		
B1	VREFB1N3	IO				J4		
B1	VREFB1N3	IO			DIFFIO_L23p	H2		
B1	VREFB1N3	IO			DIFFIO_L23n	H1		
B1	VREFB1N3	IO	VREFB1N3			J3		
B1	VREFB1N3	IO			DIFFIO_L24p	J2		
B1	VREFB1N3	IO			DIFFIO_L24n	J1		
B1	VREFB1N3	IO		DCLK		K2		
B1	VREFB1N3	IO		DATA0		K1		
B1	VREFB1N3	nCONFIG		nCONFIG		K5		
B1	VREFB1N3	TDI		TDI		L5		
B1	VREFB1N3	TCK		TCK		L2		
B1	VREFB1N3	TMS		TMS		L1		
B1	VREFB1N3	TDO		TDO		L4		
B1	VREFB1N3	nCE		nCE		L3		
B1	VREFB1N3	CLK0	DIFFCLK_0p			G2		
B1	VREFB1N3	CLK1	DIFFCLK_0n			G1		
B2	VREFB2N0	CLK2	DIFFCLK_1p			T2		
B2	VREFB2N0	CLK3	DIFFCLK_1n			T1		
B2	VREFB2N0	IO			DIFFIO_L26p	L6		
B2	VREFB2N0	IO			DIFFIO_L26n	M6		
B2	VREFB2N0	IO			DIFFIO_L27p	M2		
B2	VREFB2N0	IO			DIFFIO_L27n	M1		
B2	VREFB2N0	IO			DIFFIO_L28p	M4		
B2	VREFB2N0	IO			DIFFIO_L28n	M3		
B2	VREFB2N0	IO			DIFFIO_L29p	N2		
B2	VREFB2N0	IO			DIFFIO_L29n	N1		
B2	VREFB2N0	IO			DIFFIO_L30n	L7		
B2	VREFB2N0	IO	VREFB2N0			M5		
B2	VREFB2N0	IO			DIFFIO_L32p	P2		
B2	VREFB2N0	IO			DIFFIO_L32n	P1		
